Individual,Sex,Weight,Length,Start date,End date,Days,Observations
pv35-01-11,M,34,115,01-Sep-12,29-Dec-13,484,5814
pv35-02-11,M,24,85,03-Sep-12,22-Oct-12,49,594
pv35-03-11,M,22,96,01-Sep-11,22-Oct-11,51,666
pv30-01-09,M,21,87,01-Sep-09,09-Jul-10,311,3564
pv30-02-09,M,24,94,20-Sep-10,10-Jan-11,112,1224
pv30-03-09,M,41,108,31-Aug-10,30-Jan-11,152,1836
pv30-05-09,M,30,105,04-Sep-09,30-Mar-10,207,2484
pv30-06-09,F,31,104,01-Sep-09,27-May-10,268,3192
pv30-07-09,M,29,96,21-Oct-09,28-Jan-10,99,1184
pv30-08-09,M,25,101,05-Sep-10,19-Jun-11,287,3444
pv30-09-09,F,29,90,03-Sep-10,11-Jul-11,311,3552
pv30-10-09,M,28,100,21-Sep-10,13-Oct-10,22,264
pv30-11-09,F,22,93,06-Sep-09,07-Jun-10,274,3288
pv30-12-09,M,24,100,08-Sep-09,19-Dec-09,102,1224
pv30-13-09,F,28,101,22-Sep-10,03-Jun-11,254,2928
